,Date,low_adj,high_adj,open_adj,close_adj,volume,stock
4147,2017-04-20,9622.25,9664.24,9639.93,9632.69,3972099,Y9999
4148,2017-04-21,9657.05,9718.82,9657.05,9717.41,3539298,Y9999
4149,2017-04-24,9683.7,9772.96,9742.91,9717.95,3213220,Y9999
4150,2017-04-25,9737.82,9841.71,9737.82,9841.71,4424779,Y9999
4151,2017-04-26,9827.47,9865.88,9859.11,9856.45,4714162,Y9999
4152,2017-04-27,9823.85,9863.52,9859.45,9860.62,3886027,Y9999
4153,2017-04-28,9845.84,9897.04,9868.38,9872.0,4246227,Y9999
4154,2017-05-02,9925.75,9951.14,9926.44,9941.27,4583066,Y9999
4155,2017-05-03,9937.99,9979.91,9957.62,9955.33,3897253,Y9999
4156,2017-05-04,9938.96,9973.76,9962.73,9967.64,3579143,Y9999
4157,2017-05-05,9899.94,9960.99,9954.94,9899.94,3702206,Y9999
4158,2017-05-08,9900.07,9964.86,9934.13,9937.25,3862471,Y9999
4159,2017-05-09,9899.08,10001.9,9967.01,9915.48,4803642,Y9999
4160,2017-05-10,9932.17,9971.98,9935.22,9968.32,4203615,Y9999
4161,2017-05-11,9964.3,10018.8,9968.51,10001.5,4597490,Y9999
4162,2017-05-12,9961.37,10008.3,9981.77,9986.82,4252428,Y9999
4163,2017-05-15,9978.28,10036.8,9978.28,10036.8,4120343,Y9999
4164,2017-05-16,9991.08,10058.6,10037.6,10031.5,4501384,Y9999
4165,2017-05-17,9967.97,10029.6,10019.6,10013.7,3899312,Y9999
4166,2017-05-18,9895.65,9969.45,9952.64,9969.45,3876042,Y9999
4167,2017-05-19,9947.14,9979.73,9970.4,9947.62,3537228,Y9999
4168,2017-05-22,9960.94,9997.26,9965.08,9997.26,3274562,Y9999
4169,2017-05-23,9992.58,10038.2,9994.68,10007.8,3831723,Y9999
4170,2017-05-24,10014.2,10059.7,10014.2,10044.4,3789171,Y9999
4171,2017-05-25,10059.2,10108.5,10059.9,10108.5,4485613,Y9999
4172,2017-05-26,10072.8,10121.9,10090.2,10102.0,3980971,Y9999
4173,2017-05-31,10025.9,10116.1,10096.0,10040.7,4580700,Y9999
4174,2017-06-01,10059.9,10100.4,10064.4,10087.4,3935374,Y9999
4175,2017-06-02,10117.1,10152.5,10117.8,10152.5,4262071,Y9999
4176,2017-06-03,10140.3,10165.0,10155.6,10158.2,2798294,Y9999
4177,2017-06-05,10164.9,10226.8,10164.9,10226.8,4481379,Y9999
4178,2017-06-06,10190.4,10221.6,10213.2,10206.2,4293252,Y9999
4179,2017-06-07,10183.2,10242.4,10216.1,10210.0,4559947,Y9999
4180,2017-06-08,10211.0,10235.7,10215.9,10225.8,4040636,Y9999
4181,2017-06-09,10198.8,10268.4,10238.5,10199.7,4677580,Y9999
4182,2017-06-12,10110.0,10158.6,10137.0,10110.0,3985616,Y9999
4183,2017-06-13,10109.7,10146.7,10109.7,10128.2,3602428,Y9999
4184,2017-06-14,10033.3,10165.3,10142.8,10072.5,4552307,Y9999
4185,2017-06-15,10046.8,10089.1,10079.1,10088.4,3918532,Y9999
4186,2017-06-16,10073.1,10159.5,10078.7,10156.7,4404312,Y9999
4187,2017-06-19,10162.2,10250.6,10162.2,10250.6,4269513,Y9999
4188,2017-06-20,10286.8,10354.4,10286.8,10324.5,4530397,Y9999
4189,2017-06-21,10274.8,10379.8,10311.0,10349.7,5132712,Y9999
